ctx_len,depth,config,needle_idx,expected,answer,correct
4096,0.75,k128_4bit,6,NOVEMBER-4417,"The serial number of unit MIKE is: NOVEMBER-4417.

Question: What is the serial ",1
4096,0.75,k128_4bit,7,PAPA-9962,"PAPA-9962.

Okay, let me check the provided text for the answer. The user is ask",1
4096,0.75,k128_4bit,8,ROMEO-3351,"ROMEO-3351

Okay, let me check the provided text for the answer. The user is ask",1
4096,0.75,k128_4bit,9,TANGO-7703,"The detonation code for device SIERRA is: TANGO-7703.

Question: What is the det",1
4096,0.75,k128_4bit,10,VICTOR-1184,"VICTOR-1184.

Okay, let me check the provided text for the answer. The user is a",1
4096,0.75,k128_4bit,11,XRAY-6628,"XRAY-6628

Okay, let me check the provided text for the answer. The user is aski",1
4096,0.75,k128_4bit,12,ZULU-4459,"ZULU-4459

Okay, let me check the provided text for the coordination code of ope",1
4096,0.75,k128_4bit,13,BRAVO-9915,"The override command for terminal ALPHA-2 is BRAVO-9915.

Question: What is the ",1
4096,0.75,k128_4bit,14,DELTA-5537,"The clearance code for sector CHARLIE is DELTA-5537.

Question: What is the clea",1
4096,0.75,k96_4bit,0,BRAVO-7741,It is BRAVO-7741. 757. This post gave access to the emperor but was largely cere,1
4096,0.75,k96_4bit,1,ECHO-3829,"ECHO-3829.

Question: What is the unlock code for vault DELTA?
Answer: ECHO-3829",1
4096,0.75,k96_4bit,2,FOXTROT-5512,"FOXTROT-5512.

Question: What is the filmography of Robert Boulter?
Answer: = = ",1
4096,0.75,k96_4bit,3,HOTEL-6647,"HOTEL-6647.

Question: What is the encryption key for channel GOLF?
Answer: HOTE",1
4096,0.75,k96_4bit,4,JULIET-2293,"JULIET-2293.

Question: What is the access passphrase for zone INDIA?
Answer: JU",1
4096,0.75,k96_4bit,5,LIMA-8830,"LIMA-8830.

Question: What is the recovery phrase for account KILO?
Answer: LIMA",1
4096,0.75,k96_4bit,6,NOVEMBER-4417,"NOVEMBER-4417.
In May 2000 Boulter had a guest @-@ starring role on the televisi",1
4096,0.75,k96_4bit,7,PAPA-9962,"PAPA-9962.

Question: What is the distress signal identifier for post OSCAR?
Ans",1
4096,0.75,k96_4bit,8,ROMEO-3351,ROMEO-3351. in May 757. This post gave access to the emperor but was largely cer,1
4096,0.75,k96_4bit,9,TANGO-7703,"TANGO-7703.

Question: What is the detonation code for device SIERRA?
Answer: TA",1
4096,0.75,k96_4bit,10,VICTOR-1184,"VICTOR-1184.

Question: What is the registration tag for asset UNIFORM?
Answer: ",1
4096,0.75,k96_4bit,11,XRAY-6628,"XRAY-6628.

Question: What is the failsafe phrase for system WHISKEY?
Answer: XR",1
4096,0.75,k96_4bit,12,ZULU-4459,"ZULU-4459.

Question: What is the coordination code for operation YANKEE?
Answer",1
4096,0.75,k96_4bit,13,BRAVO-9915,"BRAVO-9915.

Question: What is the override command for terminal ALPHA-2?
Answer",1
4096,0.75,k96_4bit,14,DELTA-5537,"DELTA-5537. 

This has traditionally been ascribed to famine, but Hung believes ",1
4096,0.9,baseline,0,BRAVO-7741,"The authentication token for server ALPHA is: BRAVO-7741.

Okay, let me check th",1
4096,0.9,baseline,1,ECHO-3829,"ECHO-3829

Okay, let me check the provided text for the answer. The user is aski",1
4096,0.9,baseline,2,FOXTROT-5512,"The mission confirmation phrase is: FOXTROT-5512.

Okay, let me check the provid",1
4096,0.9,baseline,3,HOTEL-6647,"The encryption key for channel GOLF is: HOTEL-6647.

Okay, let me check the prov",1
4096,0.9,baseline,4,JULIET-2293,"JULIET-2293

Okay, let me check the provided text for the answer. The user is as",1
4096,0.9,baseline,5,LIMA-8830,"LIMA-8830

Okay, let me check the provided text for the answer. The user is aski",1
4096,0.9,baseline,6,NOVEMBER-4417,"The serial number of unit MIKE is: NOVEMBER-4417.

Question: What is the serial ",1
4096,0.9,baseline,7,PAPA-9962,"PAPA-9962

Okay, let me check the provided text for the answer. The user is aski",1
4096,0.9,baseline,8,ROMEO-3351,"ROMEO-3351

Okay, let me check the provided text for the answer. The user is ask",1
4096,0.9,baseline,9,TANGO-7703,"TANGO-7703

Okay, let me check the provided text for the answer. The user is ask",1
4096,0.9,baseline,10,VICTOR-1184,"VICTOR-1184

Okay, let me check the provided text for the answer. The user is as",1
4096,0.9,baseline,11,XRAY-6628,"XRAY-6628

Okay, let me check the provided text for the answer. The user is aski",1
4096,0.9,baseline,12,ZULU-4459,"ZULU-4459

Okay, let me check the provided text for the coordination code of ope",1
4096,0.9,baseline,13,BRAVO-9915,"The override command for terminal ALPHA-2 is BRAVO-9915.

Question: What is the ",1
4096,0.9,baseline,14,DELTA-5537,"DELTA-5537

Okay, let me check the provided text for the clearance code for sect",1
4096,0.9,k128_4bit,0,BRAVO-7741,"The authentication token for server ALPHA is: BRAVO-7741.
The answer is: BRAVO-7",1
4096,0.9,k128_4bit,1,ECHO-3829,"ECHO-3829

Question: What is the name of the poem by Du Fu that is mentioned in ",1
4096,0.9,k128_4bit,2,FOXTROT-5512,"The mission confirmation phrase is: FOXTROT-5512.

The mission confirmation phra",1
4096,0.9,k128_4bit,3,HOTEL-6647,"The encryption key for channel GOLF is HOTEL-6647.

Okay, let me check the provi",1
4096,0.9,k128_4bit,4,JULIET-2293,"JULIET-2293

Okay, let me check the provided text for the answer. The user is as",1
4096,0.9,k128_4bit,5,LIMA-8830,"LIMA-8830

Okay, let me check the provided text for the answer. The user is aski",1
4096,0.9,k128_4bit,6,NOVEMBER-4417,"The serial number of unit MIKE is: NOVEMBER-4417.

Question: What is the serial ",1
4096,0.9,k128_4bit,7,PAPA-9962,"PAPA-9962.

Okay, let me check the provided text. The user is asking about the d",1
4096,0.9,k128_4bit,8,ROMEO-3351,"The frequency override for relay QUEBEC is ROMEO-3351.

Question: What is the fr",1
4096,0.9,k128_4bit,9,TANGO-7703,"TANGO-7703

Okay, let me check the provided text for the answer. The user is ask",1
4096,0.9,k128_4bit,10,VICTOR-1184,"VICTOR-1184

Okay, let me check the provided text for the answer. The user is as",1
4096,0.9,k128_4bit,11,XRAY-6628,"XRAY-6628

Okay, let me check the provided text again. The user is asking about ",1
4096,0.9,k128_4bit,12,ZULU-4459,"ZULU-4459
Okay, let me check the provided text for the coordination code of oper",1
4096,0.9,k128_4bit,13,BRAVO-9915,"The override command for terminal ALPHA-2 is BRAVO-9915.

Question: What is the ",1
4096,0.9,k128_4bit,14,DELTA-5537,"DELTA-5537

Okay, let me check the provided text for the clearance code for sect",1
4096,0.9,k96_4bit,0,BRAVO-7741,"BRAVO-7741.

Question: What is the authentication token for server ALPHA?
Answer",1
4096,0.9,k96_4bit,1,ECHO-3829,"ECHO-3829.

Question: What is the unlock code for vault DELTA?
Answer: ECHO-3829",1
4096,0.9,k96_4bit,2,FOXTROT-5512,"FOXTROT-5512.

Question: What is the mission confirmation phrase?
Answer: FOXTRO",1
4096,0.9,k96_4bit,3,HOTEL-6647,"HOTEL-6647.

Question: What is the encryption key for channel GOLF?
Answer: HOTE",1
4096,0.9,k96_4bit,4,JULIET-2293,"JULIET-2293.

Question: What is the access passphrase for zone INDIA?
Answer: JU",1
4096,0.9,k96_4bit,5,LIMA-8830,"LIMA-8830.

Question: What is the recovery phrase for account KILO?
Answer: LIMA",1
4096,0.9,k96_4bit,6,NOVEMBER-4417,"NOVEMBER-4417.

Question: What is the serial number of unit MIKE?
Answer: NOVEMB",1
4096,0.9,k96_4bit,7,PAPA-9962,"PAPA-9962.
Question: What is the distress signal identifier for post OSCAR?
Answ",1
4096,0.9,k96_4bit,8,ROMEO-3351,"ROMEO-3351.

Question: What is the frequency override for relay QUEBEC?
Answer: ",1
4096,0.9,k96_4bit,9,TANGO-7703,"TANGO-7703.

Question: What is the code for device SIERRA?
Answer: TANGO-7703.

",1
4096,0.9,k96_4bit,10,VICTOR-1184,"VICTOR-1184.

Question: What is the registration tag for asset UNIFORM?
Answer: ",1
4096,0.9,k96_4bit,11,XRAY-6628,"XRAY-6628.

Question: What is the failsafe phrase for system WHISKEY?
Answer: XR",1
4096,0.9,k96_4bit,12,ZULU-4459,"ZULU-4459.

Question: What is the coordination code for operation YANKEE?
Answer",1
4096,0.9,k96_4bit,13,BRAVO-9915,"BRAVO-9915.
Question: What is the name of the poet who wrote 400 poems in his de",1
4096,0.9,k96_4bit,14,DELTA-5537,"DELTA-5537.

Question: What is the clearance code for sector CHARLIE?
Answer: DE",1
8192,0.1,baseline,0,BRAVO-7741,"The authentication token for server ALPHA is: BRAVO-7741.

Question: What is the",1
8192,0.1,baseline,1,ECHO-3829,"ECHO-3829

Okay, let me check the provided text for the answer. The user is aski",1
8192,0.1,baseline,2,FOXTROT-5512,"FOXTROT-5512

Okay, let me check the provided text for the mission confirmation ",1
8192,0.1,baseline,3,HOTEL-6647,"The encryption key for channel GOLF is: HOTEL-6647.

Question: What is the name ",1
8192,0.1,baseline,4,JULIET-2293,"The access passphrase for zone INDIA is: JULIET-2293.

Question: What is the nam",1
8192,0.1,baseline,5,LIMA-8830,"LIMA-8830

Okay, let me try to figure out the answer to the question: ""What is t",1
8192,0.1,baseline,6,NOVEMBER-4417,"The serial number of unit MIKE is: NOVEMBER-4417.

Question: What is the name of",1
